hs_code,product_description,classification,parent_code,hierarchy_level,is_basic_level,chapter,product_category,source
"000001","Animals; live","H6","TOTAL",2,0,"00","General","excel_import"
"000101","Horses, asses, mules and hinnies; live","H6","01",4,0,"00","General","excel_import"
"010121","Horses; live, pure-bred breeding animals","H6","0101",6,1,"01","Animals & Animal Products","excel_import"
"010129","Horses; live, other than pure-bred breeding animals","H6","0101",6,1,"01","Animals & Animal Products","excel_import"
"010130","Asses; live","H6","0101",6,1,"01","Animals & Animal Products","excel_import"
"010190","Mules and hinnies; live","H6","0101",6,1,"01","Animals & Animal Products","excel_import"
"000102","Bovine animals; live","H6","01",4,0,"00","General","excel_import"
"010221","Cattle; live, pure-bred breeding animals","H6","0102",6,1,"01","Animals & Animal Products","excel_import"
"010229","Cattle; live, other than pure-bred breeding animals","H6","0102",6,1,"01","Animals & Animal Products","excel_import"
"010231","Buffalo; live, pure-bred breeding animals","H6","0102",6,1,"01","Animals & Animal Products","excel_import"
"010239","Buffalo; live, other than pure-bred breeding animals","H6","0102",6,1,"01","Animals & Animal Products","excel_import"
"010290","Bovine animals; live, other than cattle and buffalo","H6","0102",6,1,"01","Animals & Animal Products","excel_import"
"000103","Swine; live","H6","01",4,0,"00","General","excel_import"
"010310","Swine; live, pure-bred breeding animals","H6","0103",6,1,"01","Animals & Animal Products","excel_import"
"010391","Swine; live, other than pure-bred breeding animals, weighing less than 50kg","H6","0103",6,1,"01","Animals & Animal Products","excel_import"
"010392","Swine; live, other than pure-bred breeding animals, weighing 50kg or more","H6","0103",6,1,"01","Animals & Animal Products","excel_import"
"000104","Sheep and goats; live","H6","01",4,0,"00","General","excel_import"
"010410","Sheep; live","H6","0104",6,1,"01","Animals & Animal Products","excel_import"
"010420","Goats; live","H6","0104",6,1,"01","Animals & Animal Products","excel_import"
"000105","Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","H6","01",4,0,"00","General","excel_import"
"010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"010512","Poultry; live, turkeys, weighing not more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"010513","Poultry; live, ducks, weighing not more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"010514","Poultry; live, geese, weighing not more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"010515","Poultry; live, guinea fowls, weighing not more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","H6","0105",6,1,"01","Animals & Animal Products","excel_import"
"000106","Animals; live, n.e.c. in chapter 01","H6","01",4,0,"00","General","excel_import"
"010611","Mammals; live, primates","H6","0106",6,1,"01","Animals & Animal Products","excel_import"
